"Name","Address","Description","Latitude","Longitude"
"BioSTL","4340 Duncan Ave, St. Louis, MO 63110, USA","<p>BioSTL fosters collaborative efforts and builds regional infrastructure to achieve St. Louis’ potential in biosciences, assisting partner organizations that are advancing aspects of the overall regional strategy.

BioSTL runs the BioGenerator accelerator program, the Global STL initiative, the Bioscience &amp; Entrepreneurial Inclusion Initiative, and the Fundamentals program.</p>",38.635209,-90.254186
"Hoperator","6600 Manchester Ave, St. Louis, MO 63139, United States","Hoperator is a messaging CRM platform for the hospitality industry. We combine the best of A.I. and human engagement to turn a hotel, hostel or tour operator's staff into virtual, on-demand concierge.<p></p><p><a href=""https://twitter.com/hoperatorapp target="" _blank'="""">Twitter</a><br><a href=""https://www.facebook.com/hoperatorapp/ target="" _blank'="""">Facebook</a><br><a href=""https://www.linkedin.com/company/hoperator target="" _blank'="""">Linkedin</a></p>",38.6184631,-90.2992809
"Exit 11 Workspace","1351 Jefferson St, Washington, MO 63090, United States","Whether you work from a home office, corporate office, coffee shop or kitchen table, there is a place for you to get work done, meet and collaborate at Exit 11. Sharing the space are companies like Megaboo Photography, a specialist in both indoor and outdoor photography; Cornerstone Mortgage, a mortgage company providing low rates and fees along with an innovative mix of mortgage products; and Rockwood Asset Management, which works to create significant positive impact on numerous underserved communities by assisting investment in emerging technologies and business expansion opportunities.</p><p><a href='https://twitter.com/Exit11Workspace target='_blank'>Twitter</a><br><a href='https://www.facebook.com/Exit11Workspace target='_blank'>Facebook</a></p><br><a href='https://www.linkedin.com/in/angelalieb target='_blank'>Linkedin</a></p>",38.5455413,-91.0173559
"International Institute of St. Louis","3401 Arsenal St, St. Louis, MO 63118, United States","The International Institute of St. Louis offers comprehensive adjustment services for refugees and immigrants in our community. In turn, these newcomers expand the richness of St. Louis’ diversity and help revitalize our economy. 

Contrary to many other metropolitan areas around the nation, St. Louis owes a significant portion of its growth in foreign-born populations to refugee resettlement, rather than to general immigration. These newcomers who have fled war-torn countries around the world benefit from top notch welcoming services, including English , Computer & Citizenship classes, job search & training, counseling and social work, refugee resettlement, technical assistance, micro-finance funds, translation and interpretation.</p><p><a href='https://twitter.com/iistl target='_blank'>Twitter</a><br><a href='https://www.facebook.com/IISTL/ target='_blank'>Facebook</a></p>",38.6029315,-90.2380972
"Billicon Valley @ SLU","John Cook School of Business, Lindell Boulevard, St. Louis, MO, United States","Billicon Valley is an evening of workshops, networking and free food, in the John and Lucy Cook Hall.

Its mission is to introduce the concept of entrepreneurial leadership to students - be it from local high schools or from one of the colleges and universities in St. Louis - by bringing together the most entrepreneurial leaders at SLU and in the greater St. Louis community.</p><p><a href='https://twitter.com/SLUent target='_blank'>Twitter</a><br><a href='https://www.facebook.com/sluentreclub/ target='_blank'>Facebook</a></p>",38.6373753,-90.2357242
"Code Until Dawn Meetup","St. Louis, MO, United States","Coders, designers, startuppers, freelancers and more come to code all night.",38.6270025,-90.1994042
"Ryvit","1520 S Vandeventer Ave, St. Louis, MO, United States","Ryvit was founded on one fundamental observation: businesses are demanding an integrated application experience to enable workflow and analysis. Coupled with this imperative, software companies are failing as they lack the focus and resources needed to rapidly develop and deploy integration solutions to their customer base. Recognizing this gap led to the creation of the Ryvit platform, delivered as a service through a partner-focused channel.</p><p><a href='https://twitter.com/ryvitplatform target='_blank'>Twitter</a><br><a href='https://www.facebook.com/RyvitPlatform/ target='_blank'>Facebook</a></p><br><a href='https://www.linkedin.com/company/ryvit target='_blank'>Linkedin</a></p><br><a href='http://ryvit.com/careers target='_blank'>Job Openings</a></p>",38.6210887,-90.2565612
"Brigade Society Point of Sales","137 Girard Pl, Kirkwood, St. Louis, Missouri 63122, USA","<p>Brigade is a one of a kind full service restaurant point of sale system. It’s designed to optimize your floor and create good communication between your servers, bartenders, and kitchen staff.&nbsp;</p>",38.5952952,-90.4077874
"Spinball Sports","900 White Oak, Mt Vernon, IL, United States","<p>Spinball Sports builds next generation pitching machines for baseball and softball. Home of the iPitch, a fully automated three wheel machine controlled by smart phone or tablet. iPitch was named ""Best of Show"" at the 2017 American Baseball Coaches Association Trade Show.</p>",38.2876586,-88.901673
"The Climate Corporation","4 Cityplace Drive, Creve Coeur, Missouri 63141, USA","The Climate Corporation mission is to help the world’s farmers sustainably increase productivity with digital tools. The next breakthrough in agriculture will utilize data and analytics to optimize the many decisions farmers must make throughout the growing season and in planning their operations.<br>",38.6734139,-90.4431402
"Immunophotonics","4320 Forest Park Avenue, St. Louis, Missouri 63108, United States","Immunophotonics is developing an in situ therapeutic cancer vaccine (that we call inCVAX) for solid tumor cancers. Specifically, inCVAX is an in vivo approach that is may activate antigen-presenting cells (APC), such as dendritic cells (DC), and subsequently exposes them to tumor antigens in situ, which is intended to induce a tumor-specific T-cell response. inCVAX achieves this by (1) local treatment of any one tumor with a laser to liberate tumor antigens, and (2) local injection of the proprietary nontoxic immunoadjuvant to potentially activate APC and induce a systemic antitumor response. inCVAX is thus an in situ autologous cancer vaccine that uses whole tumor cells as the sources of tumor antigens from each individual patient without ex vivo preparation or pre-selection of tumor antigens.",38.636692,-90.2529675
"MEDINEXO","4240 Duncan Avenue, St. Louis, MO, United States","MEDINEXO provides Virtual Care going beyond telehealth, adapting the latest in Telehealth tools to a more robust and scalable solution for care providers large and small. Listening to our customers regarding telehealth limitations and excuses for poor telehealth adoption, drove the creation of our virtual care platform. Our Virtual Care Platform provides interoperable access to specialized care from specialists in or outside of your organization to searching global resources.</p><p><a href='https://twitter.com/Medinexo target='_blank'>Twitter</a><br><a href='https://www.facebook.com/GlobalMedinexo/?ref=aymt_homepage_panel target='_blank'>Facebook</a></p><br><a href='https://www.linkedin.com/company-beta/6386063/ target='_blank'>Linkedin</a></p><br><a href='https://www.medinexo.com/job-opportunities/ target='_blank'>Job Openings</a></p>",38.6346357,-90.2513342
"Bayer Crop Science","800 N Lindbergh Blvd, Creve Coeur, MO 63141, USA","<p>Bayer acquired Monsanto for $63 billion in 2018.</p>",38.6711242,-90.4005333
"Venture Cafe - St. Louis","CIC St. Louis, 4240 Duncan Avenue, St. Louis, MO, United States","Venture Cafe St. Louis believes innovation is a process to improve the human condition--that the focus should not just be about making apps. The real challenges facing the human condition require innovative solutions. There is room for innovation in education, the arts, government services, healthcare, advanced manufacturing, social enterprise, and many other sectors.  Venture Cafe St. Louis is a 501(c)(3) nonprofit corporation with a mission to support the innovation community. 

Venture Cafe - St. Louis hosts a weekly gathering every Thursday at CIC@ 4240 in the Cortex Innovation Community.</p><p><a href='https://twitter.com/venturecafestl?lang=en target='_blank'>Twitter</a><br><a href='https://www.facebook.com/vencafstl/ target='_blank'>Facebook</a></p>",38.6350619,-90.2517044
"Epharmix","20 S Sarah St, St. Louis, MO 63108, United States","Epharmix offers interventions that use automated phone calls or text messages to manage patients’ conditions while collecting disease-specific data. Epharmix interventions align with value metrics and reimbursement opportunities.",38.6362117,-90.2467661
"Innovation Hall","4220 Duncan Ave #101, St. Louis, MO 63110","<p>Innovation Hall is operated by Venture Cafe, and while it is by definition “not” a coworking space, the lounge area offers a free, public workspace during the week. The private meeting rooms do come at a cost, however. Essentially free office space and close proximity to Venture Cafe's networking events make Innovation Hall an amazing place to just get started.<br></p>",38.6343727,-90.2504761
"iD Tech Camps","Washington University in St. Louis, St. Louis, MO, United States","<p>iD Tech Camps are summer camps held at Washington University. They aim to strike the right balance between off-computer activities (creative games, sports, life skills, etc.) and essential technology education to foster STEM skill development.</p>",38.6487895,-90.3107962
"HackEdu: A Hackathon for Education","University of Missouri-St. Louis, University Boulevard, St. Louis, MO, United States","HackEdu is a hackathon for educators, hackers and makers. Throughout the event, instructor-led sessions help the teams learn about software development lifecycle,  administration, and developing software solutions.</p><p><a href='https://twitter.com/EDCollabitat target='_blank'>Twitter</a><br><a href='https://www.facebook.com/UMSLCOE target='_blank'>Facebook</a>",38.7116737,-90.3085589
"UMSL Accelerate","University of Missouri-St. Louis, University Boulevard, St. Louis, MO, United States","UMSL Accelerate's vision is to serve as a catalyst for developing their students, faculty and community to inspire entrepreneurship and innovation. Their mission is to foster a community of thought leaders by providing a vibrant ecosystem to: educate, innovate and collaborate.</p><p><a href='https://twitter.com/umsl target='_blank'>Twitter</a><br><a href='https://www.facebook.com/UMSL.edu target='_blank'>Facebook</a></p>",38.7116737,-90.3085589
"IncentiLock","743 Spirit 40 Park Dr, Chesterfield, MO 63005, USA","Tech company offering SaaS tools that calculates tax credit and incentive benefits and measures the effectiveness of government jobs programs.<br><p></p>",38.6727843,-90.6415101
"SwipeSum","1533 Washington Avenue, St. Louis, MO, United States","SwipeSum is an online marketplace for credit card processing that eliminates most credit card processing fees to find you the best solution at the lowest rate.<br><p></p>",38.6328227,-90.2016754
"Community Development Ventures, Inc.","Cortex, Forest Park Avenue, St. Louis, MO, United States","Entrepreneurial, economic, community & resource development advisory firm.</p><p><a href='https://twitter.com/dick_fleming target='_blank'>Twitter</a><br><a href='https://www.facebook.com/dick.fleming.58 target='_blank'>Facebook</a><br><a href='https://www.linkedin.com/dickfleming target='_blank'>Linkedin</a>",38.636571,-90.252983
"ITEN Entrepreneur in Residence","T-REX, Washington Avenue, St. Louis, MO, United States","ITEN's Entrepreneur In Residence (EIR) program addresses the needs of the most promising and compelling early-stage startups. The EIRs select ventures that can best benefit from a focused, hands-on, strategic advisor to achieve rapid acceleration.<p></p><p><a href=""https://twitter.com/itenstl target="" _blank'="""">Twitter</a><br><a href=""https://www.facebook.com/itenstlouis target="" _blank'="""">Facebook</a></p><br><a href=""https://www.linkedin.com/company/itenstl target="" _blank'="""">Linkedin</a><p></p>",38.6312958,-90.1932019
"Good Life Growing LLC","4057 Evans Avenue, St. Louis, MO, United States","<p>Good Life Growing is an urban farming tech statup that utilizes hyrdoponics, aquaponics, aeroponics, and other organic grow methods to provide quality produce on a year-long basis. Good Life Growing is a social enterprise committed to addressing urban decay and local food insecurity through grass-roots based social change.</p>",38.6516305,-90.237405
"SixThirty CYBER","911 Washington Ave, St. Louis, MO, United States","SixThirty CYBER is an early-stage venture fund that invests in information security companies from around the world building solutions for incumbents across industries. Each year, SixThirty CYBER invests in 6-10 new companies and participates in select follow-on opportunities. Companies that receive investment from SixThirty CYBER are eligible for the SixThirty CYBER Go-To-Market Program, which entails curated meetings with CISOs, hands-on training, mentoring, and networking opportunities with industry incumbents.<br>",38.6314422,-90.1931569
"Lipospectrum","STLVentureWorks, 3830 Washington Blvd, St. Louis, MO 63108, United States","Lipospectrum’s technology employs novel, cost effective, and comprehensive lipid analysis of blood samples to detect lipid biomarkers that have been shown to be directly related to cancers and cardiovascular disease. Lipospectrum is initially focusing on a breast cancer diagnosis study to reduce healthcare costs. Subsequent disease studies will follow.<br><a href='https://www.facebook.com/LipoSpectrum/ target='_blank'>Facebook</a></p><br><a href='https://twitter.com/lipospectrum target='_blank'>Linkedin</a></p>",38.6410565,-90.2364189
"Sling Health","20 S Sarah St, St. Louis, MO, United States","Sling Health STL (formerly IDEA Labs) is a non-profit organization in St. Louis that provides resources, training, and mentorship to teams of students and residents to develop and commercialize solutions to clinical problems.</p><p><a href='https://twitter.com/SlingHealthSTL target='_blank'>Twitter</a><br><a href='https://www.facebook.com/SlingHealthSTL target='_blank'>Facebook</a></p><br><a href='https://www.linkedin.com/company/idea-labs-innovation-design-&-engineering-in-action target='_blank'>Linkedin</a></p>",38.6362117,-90.2467661
"Sherpa","3030 Locust Street, St. Louis, MO, United States","CRM software startup dedicated to improving the lives of older adults as they transition into senior housing.<br><a href='https://www.facebook.com/sherpacrm target='_blank'>Facebook</a></p><br><a href='https://www.linkedin.com/company-beta/3561013?pathWildcard=3561013 target='_blank'>Linkedin</a></p>",38.635758,-90.222994
"Eemerg Roadside Assistance","4320 Forest Park Avenue, St. Louis, MO, United States","Eemerg Roadside Assistance is an on-demand mobile roadside assistance platform geared toward customers with limited roadside assistance options.<br>",38.636692,-90.2529675
"JFACE","4240 Duncan Avenue, St. Louis, MO, United States","JFACE: Jewish Federation of St. Louis Accelerating Community Entrepreneurs

JFACE is part of PresenTense’s global movement of Jewish Accelerators that inspire and equip passionate community members to utilize design-thinking and social entrepreneurs to make an impact.<br><a href='https://www.facebook.com/JFACEstl/ target='_blank'>Facebook</a></p>",38.6346357,-90.2513342
"STL Drupal Users","St. Louis, MO, United States","STLDUG's monthly meetups aim to be a place where people from all backgrounds can come and learn more about various topics related to Drupal (Module Development, Theming, Development Environments, etc), network with other Drupal professionals and hobbyists, and get support with various issues of their own.",38.6270025,-90.1994042
"Magic Room Brand","37 Countryside Lane, Frontenac, MO, United States","<p>Magic Room Brand | music supply
MRB creates a product line of eco-friendly musician accessories. 

Let's face it, deforestation is dumb and that terrifying plastic mountain in the ocean is getting pretty hard to ignore. 

Made of sustainable bamboo grass, Magic Room Brand drumsticks and guitar picks sound better, last longer, and are 100% biodegradable. The online store offers one-time purchases, as well as convenient subscription plans to have your favorite items delivered to your door every month. 

Musicians deserve to love how they make, what they make.</p>",38.620227,-90.428908
"Lewis & Clark Ventures","120 S Central Ave, Clayton, MO, United States","Lewis & Clark Ventures is a St. Louis-based venture capital firm focusing on high potential investment opportunities throughout the Midwest region. The mission of the fund is to deploy series A / B stage growth capital into companies operating within sectors that include software, devices and life sciences, and serving markets such as financial, agricultural , healthcare and business enterprise solutions.</p><p><a href='https://twitter.com/LACVentures target='_blank'>Twitter</a>",38.647948,-90.3378696
"Matatu","4320 Forest Park Ave. Ste 321","Matatu is an animal health startup focused on providing livestock producers with new microbiome-directed strategies for encouraging healthy growth in their herds.",38.6366064175529,-90.2536424799958
"CIC St. Louis","4240 Duncan Ave, St. Louis, MO, United States","CIC has been helping entrepreneurs and startups in the tech and bioscience fields lead successful companies since 1999. 

With two locations in the Central West End and a dynamic community of entrepreneurs, investors and universities, along with innovative programs and stunning spaces, CIC is designed to facilitate collaboration. Sharing space with more than 150 startup businesses across multiple industries are larger companies like MasterCard, Express Scripts, Square, Uber and Pandora. There is a growing venture capital presence as well, including Lewis & Clark Ventures and iSelect Fund.</p><p><a href='https://twitter.com/cic_stlouis target='_blank'>Twitter</a><br><a href='http://www.linkedin.com/company/62837 target='_blank'>Linkedin</a></p>",38.6346583,-90.2513906
"Hemadvance","911 Washington Avenue, St. Louis, MO, United States","Hemadvance is a platform technology venture developing next generation bio therapeutic molecules to diagnose, manage, and treat the onset and progression of coagulation disorders via activation of Protein C, the one and only natural anticoagulant enzyme in the blood.",38.6314422,-90.1931569
"Civic Progress","800 Market Street, St. Louis, MO, United States","Civic Progress is an organization of CEOs and top executives from the St. Louis region’s largest private sector employers who are working to improve the quality of community and business life for all the residents of the bi-state metropolitan area. As part of its mission to improve the quality of community and business life in the St. Louis region, Civic Progress focuses its resources and energy on issues that our members believe are essential to being a world-class region.",38.6259882,-90.1942495
"LeoPlanner","4240 Duncan Avenue, St. Louis, MO, United States","Leading working Americans through wealth creation.  Active, independent, unbiased, and 100% committed to clients, whether they have money already, or merely want to reach goals.",38.6346357,-90.2513342
"Pulse Therapeutics","611 Olive St, St. Louis, MO 63101, USA","Pulse Therapeutics develops magnetic technologies for healthcare applications, currently in the realm of stroke. Pulse Therapeutics has developed a breakthrough medical device designed to significantly increase the effectiveness of the clot-busting drug tPA for the emergency department (ED) ‐based treatment of ischemic stroke. In 2010, Pulse concluded pre‐clinical studies which demonstrated that intravenously-administered biocompatible iron particles, when controlled by a compact external magnet, substantially accelerate the diffusion of chemical agents in a user-selected direction. This 100% mechanical action is accomplished without the need to attach the drug to the magnetic particles. The Company believes that its proprietary technology will allow tPA to reach the clot more quickly and at higher concentrations, resulting in dramatically faster dissolution of the clot as compared to standard IV-tPA delivery.",38.6285427,-90.1905917
"Janus Choice","T-REX, Washington Avenue, St. Louis, MO, United States","Janus Choice is improving patient outcomes with the use of persuasive technology. Janus Choice offers an interactive, mobile, and easy-to-use platform for matching hospital patients with the best post-acute care providers.


Janus Choice was a 2014 New Venture finalist at Chicago Booth and in 2015, was voted one of the 12 most innovative companies by the American Geriatric Society.
Janus Choice is improving patient outcomes with the use of persuasive technology. Janus Choice was a 2014 New Venture finalist at Chicago Booth and in 2015, was voted one of the 12 most innovative companies by the American Geriatric Society.</p><p><a href='https://twitter.com/JanusChoice target='_blank'>Twitter</a><br><a href='https://www.facebook.com/januschoice/ target='_blank'>Facebook</a></p><br><a href='https://www.linkedin.com/company/janus-choice target='_blank'>Linkedin</a></p>",38.6312958,-90.1932019
"Startup Weekend St. Louis","St. Louis, MO, United States","Startup Weekend is a 54 hour event that brings together St. Louis designers, developers, entrepreneurs, and experts from all domains to pitch ideas and develop businesses.<p></p><p><a href=""https://twitter.com/startupwkndstl?lang=en target="" _blank'="""">Twitter</a><br><a href=""https://www.facebook.com/startupwkndstl/ target="" _blank'="""">Facebook</a></p>",38.6270025,-90.1994042
"Saint Louis Fashion Fund","1533 Washington Avenue, St. Louis, MO, United States","<p>The Saint Louis Fashion Fund provides six emerging designers with a unique opportunity to build their brands and grow their businesses. The two-year residency program provides the chosen SLFI designers with tools, education and mentorship including: free studio space and designer offices, stipends, mentorship and business support, sales opportunities,  collaborative opportunities and professional development.</p>",38.6328227,-90.2016754
"Startup Founder 101","St. Louis, MO, United States","Startup Founder 101 brings together aspiring and experienced tech entrepreneurs to discuss, meet, and collaborate to build great new startups, and to push the local startup ecosystem forward.</p><p><a href='https://twitter.com/founding target='_blank'>Twitter</a><br><a href='https://www.facebook.com/pages/The-Founder-Institute/176659728864 target='_blank'>Facebook</a></p><br><a href='http://www.linkedin.com/company/the-founder-institute target='_blank'>Linkedin</a></p>",38.6270025,-90.1994042
"Immunophotonics","4320 Forest Park Avenue, St. Louis, Missouri 63108, United States","<p>Immunophotonics is developing an in situ therapeutic cancer vaccine (that we call inCVAX) for solid tumor cancers. Specifically, inCVAX is an in vivo approach that is may activate antigen-presenting cells (APC), such as dendritic cells (DC), and subsequently exposes them to tumor antigens in situ, which is intended to induce a tumor-specific T-cell response.&nbsp;</p>",38.636692,-90.2529675
"Boeing HorizonX Ventures","CIC St. Louis, 4240 Duncan Avenue, St. Louis, MO, United States","<p>Boeing Defense, Space &amp; Security's start-up arm, Boeing Ventures, employs about  20 full-time employees at its Cortex location. Boeing began Ventures in an effort to grow business outside its expertise in airplane and defense production.</p>",38.6350619,-90.2517044
"FocalCast","911 Washington Avenue, St. Louis, MO, United States","<p>FocalCast is a full-service web-based platform for live Market Research Increase the speed, efficiency and effectiveness of your business with live focus groups and interactive stimuli that works on any device, anywhere in the world.<br></p>",38.6314422,-90.1931569
"Bandura","4240 Duncan Ave, St. Louis, MO 63110, United States","<p>Bandura is a cyber security software company that makes the patented PoliWall security appliance, the Firewall’s Firewall and ProAct server, a complete threat intelligence platform, which aggregates multiple sources of threat intelligence, auto-blocks threats in real-time ahead of the firewall.</p>",38.6346583,-90.2513906
"Lifepack","6323 Delmar Blvd, University City, St. Louis County, MO, United States","Lifepack produces packaging (plates, cups, sleeves, boxes etc.) made of natural fibers and local seeds that can germinate and are 100% biodegradable. After use, they can germinate into new plants (strawberries, flowers, tomatoes, herbs, etc.); close to 70% of packaging can germinate after one week.<p></p>",38.6559996,-90.3036413
"CIC@4240 (Cortex Innovation Community)","4240 Duncan Avenue, St. Louis, MO, United States","@4240 offers a unique environment for a range of companies including those involved in life sciences, research, technology, legal, innovation and entrepreneurship… conveniently located within the CORTEX district in St. Louis’ popular Central West End. @4240 features the newest amenities in an historic brick building, along with modern laboratory facilities, office space, meeting rooms and areas for informal collaboration… all elements of today’s ideal work space.",38.6346583,-90.2513906
"MasterCard Labs","2200 Mastercard Blvd, O'Fallon, MO 63368, United States","While Mastercard's global headquarters are in New York, its Operations &amp; Technology headquarters are in St. Louis. Additionally, its innovation team, Mastercard Labs, offices in St. Louis and has created spinoff companies such as Simplify Commerce, which offices in CIC@ 4240.<p></p><p><a href=""https://twitter.com/mastercardstl?lang=en target="" _blank'="""">Twitter</a></p>",38.7468239,-90.7460708
"Coolfire Solutions","415 North 10th Street, St. Louis, MO, USA","Coolfire Solutions built the Ronin Platform to empower people on the edge of operations with actionable intelligence. Originally developed to help soldiers on the battlefield achieve situational awareness, Ronin now supports a wide variety of employees operating on the frontlines in a variety of industries. Ronin connects data from disparate systems and sensors, then visualizes the data by putting it in context for the users, and creates an environment for real-time communication between all entities to generate and maintain a common operational picture.</p><p><a href='https://twitter.com/cfsboom target='_blank'>Twitter</a><br><a href='https://www.facebook.com/cfsboom/ target='_blank'>Facebook</a></p><br><a href='https://www.linkedin.com/company/coolfire-solutions target='_blank'>Linkedin</a></p><br><a href='https://www.coolfiresolutions.com/about-us/ target='_blank'>Job Openings</a></p>",38.6303157,-90.1942759
"Missouri Technology Corporation","301 West High Street, Jefferson City, MO, United States","The Missouri Technology Corporation (MTC) is a public-private partnership created by the Missouri General Assembly to promote entrepreneurship and foster the growth of new and emerging high-tech companies. The MTC’s Innovation, Development, and Entrepreneurial Advancement (IDEA) Funds deploy direct co-investments into high-tech startups headquartered in the state of Missouri.<br>",38.5788439,-92.17629
"Tiny Superheroes","Ballwin, MO 63024, United States","TinySuperheroes is a superhero cape company with a big mission to empower extraordinary kids as they overcome illness or disability.",38.6,-90.55
"Skejul","20 S Sarah St, Saint Louis, Missouri 63108, United States","Skejul is a dynamic global calendar in the cloud that enables people to set meetings in seconds without sharing calendars, bouncing emails back and forth, or disclosing private information.  Skejul eliminates friction when planning and managing business meetings, family activities, and school events.  Just tell Skejul who you want to connect with and the predictive computing platform works on everyone’s behalf to find the best date, time, and place.

Skejul is intelligent assistance not just another calendar app.  Skejul is social, it turns commitments into content people can act on.  Load Skejul with your activities from google and outlook.com calendars.  Search and add public events (school, social, professional) .  Share events with specific people and groups.

The Skejul platform uses predictive computing in patent pending technology to achieve our mission to simplify your future with awesome new ways to connect, communicate, and collaborate.  It’s simple, fast, private, and what you should expect from really smart technology.",38.6362117,-90.2467661
"Venture Cafe - St. Louis Gathering","4240 Duncan Avenue, St. Louis, MO, United States","Venture Café is a global movement working to build stronger and more inclusive innovation ecosystems and accelerate and enhance the innovation process, in cities around the world. It does this through its use of programming, space, storytelling, and broad innovation engagement. Every Thursday, Venture Cafe hosts a free gathering at CIC @ 4240 on Cortex campus from 3pm-8pm open to anyone.</p><p><a href='https://www.twitter.com/venturecafestl target='_blank'>Twitter</a><br><a href='https://www.facebook.com/vencafstl target='_blank'>Facebook</a></p>",38.6346357,-90.2513342
"Tallyfy","911 Washington Avenue, St. Louis, MO, United States","<p>Tallyfy is beautiful workflow software for professionals. It frees you from busywork and eliminates chaos in your tasks, approvals and business processes.</p><p>Managers love processes and flowcharts - but nobody follows them. Tallyfy eliminates flowcharts and focuses on enabling anyone to DO and TRACK recurring processes in the easiest possible way.&nbsp;</p><p>Tallyfy ensures people complete processes like employee/client on-boarding, financial approvals and compliance checks consistently, efficiently and on time - so that the business scales successfully.</p>",38.6314422,-90.1931569
"Arsenal Capital Management","3870 S Lindbergh Blvd, St. Louis, MO, United States","<p>Arsenal Capital Management is a different type of venture capital firm, built around giving investors the opportunity to determine which companies they want (and do not want) to invest in. Its goal is to provide our investors with a superior investment return by identifying early capital opportunities within a fund structure that is transparent, focused and cost conscious.</p>",38.5478858,-90.4034657
"BuyBackPros.Com","12015 Manchester Road #124, Des Peres, MO, United States","Buy Back Pros LLC is an up and coming e-commerce company specializing in buying and selling pre-owned consumer goods. We pay cash for cell phones, computers, electronics, laptops, smartphones, tablets and more. Next, we inspect, evaluate, certify, and sell them to consumers. Buy Back Pros is simple, effective, green and available to everyone.<p></p><p><a href=""https://twitter.com/buybackpros target="" _blank'="""">Twitter</a><br><a href=""https://www.facebook.com/BuyBackProsSellBuyRecycle/ target="" _blank'="""">Facebook</a></p>",38.602228272421,-90.4361771846558
"Tunespeak","P.O. Box 434016 St. Louis, MO 63143","Bands giving back to fans Tunespeak is a musician-to-fan reward platform that empowers bands to create contests online, identify and reward their most loyal and influential fans.",38.6125092,-90.3165087
"Assembly Payments","555 Washington Avenue, Suite 310, St. Louis, MO 63101-1249","<p>Assembly Payments, formerly PromisePay, is a full stack payments platform that helps marketplaces, merchants, and their customers transact simply and securely online.</p>",38.6304288,-90.1888383
"Bella's Frozen Yogurt","Bella's Frozen Yogurt, 1021 Washington Avenue, St. Louis, MO, USA","<br>",38.63165,-90.194633
"House of Genius","20 South Sarah Street, St. Louis, MO, United States","<p>House of Genius St. Louis helps local entrepreneurs, business leaders and organization founders approach their challenges and opportunities. They accomplish this by gathering a panel of 15-20 experts, artists, practitioners to participate in a strictly moderated discussion intended to amplify collective genius and resource sharing. Sessions are held on the third Thursday of every month.</p>",38.6362117,-90.2467661
"Benson Hill Biosystems","1001 N Warson Rd, Olivette, St. Louis, MO 63132, USA","Benson Hill is a crop improvement company that unlocks the natural genetic diversity of plants to help modernize our food system. Their mission is to empower innovators with a revolutionary crop design platform to develop healthier and more sustainable crops. Their CropOS platform combines machine learning and big data with genome editing and plant biology to drastically accelerate and simplify the product development process.<br><p></p>",38.6757011,-90.3953952
"Medici MediaSpace","2065 Walton Road, St. Louis, MO, United States","<p>Medici MediaSpace is a membership-based community dedicated to building and growing businesses, cultivating an abundance mindset and developing processes that enable people to be part of flexible but disciplined projects. Medici Mediaspace aims to support and connect the next generation of media innovators, entrepreneurs and artists by providing dedicated offices, coworking space, and media production studios.</p>",38.6927902,-90.3469566
"Noonlight (formerly SafeTrek)","911 Washington Avenue, St. Louis, MO, United States","Noonlight, formerly SafeTrek, is a connected safety platform and mobile app that can trigger requests to emergency services. Noonlight users can trigger an alarm by clicking a button. Users can connect other smart devices, to automatically trigger alarms for them. The app is available for both Android and iOS devices.<br>",38.6314422,-90.1931569
"Entrepreneur Organization (EO)","St. Louis, MO, United States","The Entrepreneurs’ Organization (EO) is a global, peer-to-peer network of more than 12,000+ influential business owners with 160 chapters in 50 countries. Founded in 1987, EO is the catalyst that enables leading entrepreneurs to learn and grow, leading to greater success in business and beyond.<p></p><p><a href=""http://twitter.com/EntrepreneurOrg target="" _blank'="""">Twitter</a><br><a href=""http://www.facebook.com/EntrepreneursOrganization target="" _blank'="""">Facebook</a><br><a href=""http://www.linkedin.com/company/entrepreneurs%27-organization target="" _blank'="""">Linkedin</a></p>",38.6270025,-90.1994042
"OneSpace","33 Bronze Pointe North, Swansea, IL, United States","OneSpace is an agile talent platform that brings managers in need of a convenient and effective way to access, integrate and manage a virtual workforce together with contractors seeking an easy way to access paying assignments and manage their careers.

We offer both companies and freelancers a user-friendly and comprehensive virtual work environment, as well as the preparation, support and tools necessary to succeed in the new on-demand economy. We’ve provided enterprises, such as Staples, eBay and Overstock, instant access to talent, helping them scale their operations with unprecedented efficiency.</p><p><a href='https://twitter.com/onespace_com target='_blank'>Twitter</a><br><a href='https://www.facebook.com/OneSpace.com1/ target='_blank'>Facebook</a></p><br><a href='https://www.linkedin.com/company/onespacecom target='_blank'>Linkedin</a></p><br><a href='https://www.onespace.com/about/careers/ target='_blank'>Job Openings</a></p>",38.5664692,-89.9873512
"National Association of Women Business Owners","St. Louis, MO, United States","NAWBO Greater St. Louis members can access a variety of opportunities, products and services that will help their business achieve greater visibility, credibility, and profitability while building a strong network of other women-owned businesses in the region.</p><p><a href='https://twitter.com/NAWBONational target='_blank'>Twitter</a><br><a href='https://www.facebook.com/pages/NAWBO/67883022683 target='_blank'>Facebook</a></p><br><a href='https://www.linkedin.com/groups/National-Association-Women-Business-Owners-73896 target='_blank'>Linkedin</a></p>",38.6270025,-90.1994042
"Hemadvance","911 Washington Avenue, St. Louis, MO, United States","Hemadvance is a platform technology venture developing next generation bio therapeutic molecules to diagnose, manage, and treat the onset and progression of coagulation disorders via activation of Protein C, the one and only natural anticoagulant enzyme in the blood.",38.6314422,-90.1931569
